n_notes, scale_no, mode_name, semitones
6,52,Sorimic, 213231
6,52,Monimic, 132312
6,53,Aeragimic, 322221
6,53,Epothimic, 222213
6,53,Salimic, 222132
6,53,Lyptimic, 221322
6,53,Katonimic, 213222
6,53,Gygimic, 132222
6,54,Aeradimic, 321321
6,54,Zyrimic, 213213
6,54,Stylimic, 132132
6,55,Lythimic, 312312
6,55,Dodimic, 123123
6,55,Katalimic, 231231
6,56,Boptimic, 312222
6,56,Stogimic, 122223
6,56,Thynimic, 222231
6,56,Aeolathimic, 222312
6,56,Bythimic, 223122
6,56,Padimic, 231222
6,57,Dathimic, 422112
6,57,Epagimic, 221124
6,57,Raptimic, 211242
6,57,Epolimic, 112422
6,57,Sythimic, 124221
6,57,Sydimic, 242211
6,58,Gacrimic, 421122
6,58,Borimic, 211224
6,58,Sycrimic, 112242
6,58,Gadimic, 122421
6,58,Aeolocrimic, 224211
6,58,Phrygimic, 242112
6,59,WholeTone, 222222
7,1,Lydian, 2221221
7,1,Mixolydian, 2212212
7,1,Aeolian, 2122122
7,1,Locrian, 1221222
7,1,Ionian, 2212221
7,1,Dorian, 2122212
7,1,Phrygian, 1222122
7,2,Ionythian, 4122111
7,2,Aeolyrian, 1221114
7,2,Gorian, 2211141
7,2,Aeolodian, 2111412
7,2,Doptian, 1114122
7,2,Aeraphian, 1141221
7,2,Zacrian, 1412211
7,3,Ionarian, 4113111
7,3,Dynian, 1131114
7,3,Zydian, 1311141
7,3,Zathian, 3111411
7,3,Radian, 1114113
7,3,Stonian, 1141131
7,3,Syptian, 1411311
7,4,Aeolacrian, 4111311
7,4,Zythian, 1113114
7,4,Dyrian, 1131141
7,4,Koptian, 1311411
7,4,Thocrian, 3114111
7,4,Aeolanian, 1141113
7,4,Danian, 1411131
7,5,Zogian, 4111221
7,5,Epyrian, 1112214
7,5,Lycrian, 1122141
7,5,Daptian, 1221411
7,5,Kygian, 2214111
7,5,Mocrian, 2141112
7,5,Zynian, 1411122
7,6,Phrolian, 3221211
7,6,Ionagian, 2212113
7,6,Aeodian, 2121132
7,6,Kycrian, 1211322
7,6,Epygian, 2113221
7,6,Zaptian, 1132212
7,6,Kagian, 1322121
7,7,Soptian, 3221112
7,7,Ionyptian, 2211123
7,7,Gyrian, 2111232
7,7,Zalian, 1112322
7,7,Stolian, 1123221
7,7,Bylian, 1232211
7,7,Zothian, 2322111
7,8,Thonian, 3212211
7,8,Phrorian, 2122113
7,8,Stadian, 1221132
7,8,Thodian, 2211321
7,8,Dogian, 2113212
7,8,Mixopyrian, 1132122
7,8,Garian, 1321221
7,9,Epathian, 3211311
7,9,Mythian, 2113113
7,9,Sogian, 1131132
7,9,Gogian, 1311321
7,9,Rothian, 3113211
7,9,Katarian, 1132113
7,9,Stylian, 1321131
7,10,Stathian, 3211122
7,10,Mixonyphian, 2111223
7,10,Magian, 1112232
7,10,Dadian, 1122321
7,10,Aeolylian, 1223211
7,10,Gycrian, 2232111
7,10,Pyrian, 2321112
7,11,Epogian, 3113112
7,11,Lanian, 1131123
7,11,Paptian, 1311231
7,11,Ionacrian, 3112311
7,11,Gathian, 1123113
7,11,Ionyphian, 1231131
7,11,Phrynian, 2311311
7,12,Ionycrian, 3112212
7,12,Phradian, 1122123
7,12,Aeolorian, 1221231
7,12,Gonian, 2212311
7,12,Dalian, 2123112
7,12,Dygian, 1231122
7,12,Zolian, 2311221
7,13,Aerathian, 3112122
7,13,Sarian, 1121223
7,13,Zoptian, 1212231
7,13,Aeracrian, 2122311
7,13,Byptian, 1223112
7,13,Darian, 2231121
7,13,Lonian, 2311212
7,14,Aeopian, 4212111
7,14,Rygian, 2121114
7,14,Epynian, 1211142
7,14,Ionogian, 2111421
7,14,Kydian, 1114212
7,14,Gaptian, 1142121
7,14,Tharian, 1421211
7,15,Epycrian, 4211121
7,15,Gocrian, 2111214
7,15,Katolian, 1112142
7,15,Thoptian, 1121421
7,15,Bagian, 1214211
7,15,Kyrian, 2142111
7,15,Sonian, 1421112
7,16,Parian, 4131111
7,16,Ionaptian, 1311114
7,16,Thylian, 3111141
7,16,Lolian, 1111413
7,16,Thagian, 1114131
7,16,Kolian, 1141311
7,16,Dycrian, 1413111
7,17,Stygian, 4121211
7,17,Aeolygian, 1212114
7,17,Aerogian, 2121141
7,17,Dacrian, 1211412
7,17,Baptian, 2114121
7,17,Dagian, 1141212
7,17,Aeolydian, 1412121
7,18,Stythian, 4121121
7,18,Kothian, 1211214
7,18,Pygian, 2112141
7,18,Rodian, 1121412
7,18,Sorian, 1214121
7,18,Monian, 2141211
7,18,Thalian, 1412112
7,19,Zorian, 4121112
7,19,Aeragian, 1211124
7,19,Epothian, 2111241
7,19,Salian, 1112412
7,19,Lyptian, 1124121
7,19,Katonian, 1241211
7,19,Gyphian, 2412111
7,20,Thacrian, 4112211
7,20,Dodian, 1122114
7,20,Aeolyptian, 1221141
7,20,Aeolonian, 2211411
7,20,Aeradian, 2114112
7,20,Aeolagian, 1141122
7,20,Zyrian, 1411221
7,21,Aeolathian, 4112121
7,21,Bythian, 1121214
7,21,Padian, 1212141
7,21,Rolian, 2121411
7,21,Pydian, 1214112
7,21,Thygian, 2141121
7,21,Katalian, 1411212
7,22,Saptian, 4111212
7,22,Aerodian, 1112124
7,22,Macrian, 1121241
7,22,Rogian, 1212411
7,22,Boptian, 2124111
7,22,Stogian, 1241112
7,22,Thynian, 2411121
7,23,Thycrian, 4111131
7,23,Aeoladian, 1111314
7,23,Dylian, 1113141
7,23,Eponian, 1131411
7,23,Katygian, 1314111
7,23,Starian, 3141111
7,23,Phrathian, 1411113
7,24,Stalian, 3311211
7,24,Stoptian, 3112113
7,24,Zygian, 1121133
7,24,Kataptian, 1211331
7,24,Aeolaptian, 2113311
7,24,Pothian, 1133112
7,24,Bygian, 1331121
7,25,Morian, 3231111
7,25,Rycrian, 2311113
7,25,Ronian, 3111132
7,25,Stycrian, 1111323
7,25,Katorian, 1113231
7,25,Epythian, 1132311
7,25,Kaptian, 1323111
7,26,Phraptian, 3222111
7,26,Bacrian, 2221113
7,26,Katythian, 2211132
7,26,Madian, 2111322
7,26,Aerygian, 1113222
7,26,Pylian, 1132221
7,26,Ionathian, 1322211
7,27,Katocrian, 3213111
7,27,Phryptian, 2131113
7,27,Katynian, 1311132
7,27,Aerycrian, 3111321
7,27,Ganian, 1113213
7,27,Eparian, 1132131
7,27,Lyrian, 1321311
7,28,Ionopian, 3212112
7,28,Aeologian, 2121123
7,28,Zadian, 1211232
7,28,Sygian, 2112321
7,28,Phralian, 1123212
7,28,Phrogian, 1232121
7,28,Rathian, 2321211
7,29,Rythian, 3211212
7,29,Donian, 2112123
7,29,Aeoloptian, 1121232
7,29,Panian, 1212321
7,29,Lodian, 2123211
7,29,Solian, 1232112
7,29,Ionolian, 2321121
7,30,Laptian, 3211131
7,30,Lygian, 2111313
7,30,Logian, 1113132
7,30,Lalian, 1131321
7,30,Sothian, 1313211
7,30,Phrocrian, 3132111
7,30,Thogian, 1321113
7,31,Katathian, 3131211
7,31,Modian, 1312113
7,31,Barian, 3121131
7,31,Mixolocrian, 1211313
7,31,Sagian, 2113131
7,31,Aeolothian, 1131312
7,31,Socrian, 1313121
7,32,Tholian, 3131121
7,32,Ralian, 1311213
7,32,Syrian, 3112131
7,32,Stodian, 1121313
7,32,Ionocrian, 1213131
7,32,Zycrian, 2131311
7,32,Ionygian, 1313112
7,33,Zarian, 3131112
7,33,Phrythian, 1311123
7,33,Rorian, 3111231
7,33,Bolian, 1112313
7,33,Bothian, 1123131
7,33,Katadian, 1231311
7,33,Kodian, 2313111
7,34,Ranian, 3123111
7,34,Ladian, 1231113
7,34,Podian, 2311131
7,34,Ionothian, 3111312
7,34,Kanian, 1113123
7,34,Zylian, 1131231
7,34,Zodian, 1312311
7,35,Golian, 3122211
7,35,Dyptian, 1222113
7,35,Ryphian, 2221131
7,35,Gylian, 2211312
7,35,Aeolycrian, 2113122
7,35,Pynian, 1131222
7,35,Zanian, 1312221
7,36,Palian, 3122121
7,36,Stothian, 1221213
7,36,Aerorian, 2212131
7,36,Katagian, 2121312
7,36,Phronian, 1213122
7,36,Banian, 2131221
7,36,Aeronian, 1312212
7,37,Loptian, 3121311
7,37,Ionodian, 1213113
7,37,Bogian, 2131131
7,37,Mogian, 1311312
7,37,Docrian, 3113121
7,37,Epadian, 1131213
7,37,Aerynian, 1312131
7,38,Bycrian, 3121221
7,38,Pathian, 1212213
7,38,Mydian, 2122131
7,38,Thyptian, 1221312
7,38,Phrothian, 2213121
7,38,Katycrian, 2131212
7,38,Ionalian, 1312122
7,39,Dolian, 3112221
7,39,Porian, 1122213
7,39,Aerylian, 1222131
7,39,Zagian, 2221311
7,39,Lagian, 2213112
7,39,Tyrian, 2131122
7,39,Mixonorian, 1311222
7,40,Pagian, 3111222
7,40,Aeolythian, 1112223
7,40,Molian, 1122231
7,40,Staptian, 1222311
7,40,Mothian, 2223111
7,40,Aeranian, 2231112
7,40,Ragian, 2311122
7,41,Larian, 2222121
7,41,Lythian, 2221212
7,41,Stydian, 2212122
7,41,Lorian, 2121222
7,41,Ionadian, 1212222
7,41,Bocrian, 2122221
7,41,Mixolythian, 1222212
7,42,Thadian, 4311111
7,42,Sanian, 3111114
7,42,Ionydian, 1111143
7,42,Epydian, 1111431
7,42,Katydian, 1114311
7,42,Mathian, 1143111
7,42,Aeryptian, 1431111
7,43,Pythian, 4221111
7,43,Katylian, 2211114
7,43,Bydian, 2111142
7,43,Bynian, 1111422
7,43,Galian, 1114221
7,43,Zonian, 1142211
7,43,Myrian, 1422111
7,44,Katogian, 4211211
7,44,Stacrian, 2112114
7,44,Styrian, 1121142
7,44,Ionyrian, 1211421
7,44,Phrodian, 2114211
7,44,Pycrian, 1142112
7,44,Gyptian, 1421121
7,45,Katacrian, 4112112
7,45,Sodian, 1121124
7,45,Bathian, 1211241
7,45,Mylian, 2112411
7,45,Godian, 1124112
7,45,Thorian, 1241121
7,45,Zocrian, 2411211
7,46,Stanian, 4111122
7,46,Epanian, 1111224
7,46,Konian, 1112241
7,46,Stocrian, 1122411
7,46,Kalian, 1224111
7,46,Phroptian, 2241111
7,46,Dydian, 2411112
7,47,Katyptian, 4111113
7,47,Epodian, 1111134
7,47,Mygian, 1111341
7,47,Pacrian, 1113411
7,47,Aerocrian, 1134111
7,47,Aeolarian, 1341111
7,47,Kythian, 3411111
7,48,Bonian, 3321111
7,48,Badian, 3211113
7,48,Katodian, 2111133
7,48,Sadian, 1111332
7,48,Dothian, 1113321
7,48,Moptian, 1133211
7,48,Aeryrian, 1332111
7,49,Epagian, 3312111
7,49,Raptian, 3121113
7,49,Epolian, 1211133
7,49,Sythian, 2111331
7,49,Sydian, 1113312
7,49,Epocrian, 1133121
7,49,Kylian, 1331211
7,50,Gacrian, 3311121
7,50,Borian, 3111213
7,50,Sycrian, 1112133
7,50,Gadian, 1121331
7,50,Aeolocrian, 1213311
7,50,Mixodorian, 2133111
7,50,Dathian, 1331112
7,51,Katoptian, 3311112
7,51,Ponian, 3111123
7,51,Kadian, 1111233
7,51,Gynian, 1112331
7,51,Thyphian, 1123311
7,51,Polian, 1233111
7,51,Thanian, 2331111
7,52,Epacrian, 3221121
7,52,Sathian, 2211213
7,52,Lathian, 2112132
7,52,Aeralian, 1121322
7,52,Kynian, 1213221
7,52,Stynian, 2132211
7,52,Epyphian, 1322112
7,53,Pogian, 3212121
7,53,Aeraptian, 2121213
7,53,Epylian, 1212132
7,53,Gamian, 2121321
7,53,Kathian, 1213212
7,53,Lylian, 2132121
7,53,Epalian, 1321212
7,54,Eporian, 3211221
7,54,Rylian, 2112213
7,54,Epaptian, 1122132
7,54,Byrian, 1221321
7,54,Katanian, 2213211
7,54,Katyrian, 2132112
7,54,Rynian, 1321122
7,55,Korian, 3122112
7,55,Lynian, 1221123
7,55,Malian, 2211231
7,55,Synian, 2112312
7,55,Phragian, 1123122
7,55,Manian, 1231221
7,55,Marian, 2312211
7,56,Mycrian, 3121212
7,56,Ionorian, 1212123
7,56,Phrydian, 2121231
7,56,Zyptian, 1212312
7,56,Katothian, 2123121
7,56,Phrylian, 1231212
7,56,Kocrian, 2312121
7,57,Ionanian, 3121122
7,57,Aerothian, 1211223
7,57,Stagian, 2112231
7,57,Lothian, 1122312
7,57,Phrycrian, 1223121
7,57,Kyptian, 2231211
7,57,Ionylian, 2312112
7,58,Gydian, 4211112
7,58,Kogian, 2111124
7,58,Rarian, 1111242
7,58,Aerolian, 1112421
7,58,Karian, 1124211
7,58,Myptian, 1242111
7,58,Rydian, 2421111
7,59,Aeolynian, 2222211
7,59,Aeroptian, 2222112
7,59,Phryrian, 2221122
7,59,Gothian, 2211222
7,59,Storian, 2112222
7,59,Pyptian, 1122222
7,59,Thydian, 1222221
8,1,Aerycryllic, 22122111
8,1,Gadyllic, 21221112
8,1,Solyllic, 12211122
8,1,Zylyllic, 22111221
8,1,Mixodyllic, 21112212
8,1,Soryllic, 11122122
8,1,Godyllic, 11221221
8,1,Epiphyllic, 12212211
8,2,Pynyllic, 41112111
8,2,Bocryllic, 11121114
8,2,Kogyllic, 11211141
8,2,Raryllic, 12111411
8,2,Zycryllic, 21114111
8,2,Mycryllic, 11141112
8,2,Laptyllic, 11411121
8,2,Pylyllic, 14111211
8,3,Pothyllic, 32111211
8,3,Phronyllic, 21112113
8,3,Stynyllic, 11121132
8,3,Rathyllic, 11211321
8,3,Aeryptyllic, 12113211
8,3,Zydyllic, 21132111
8,3,Katolyllic, 11321112
8,3,Rythyllic, 13211121
8,4,Locryllic, 31131111
